t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
Neobatrachus_albipes_15803,Neobatrachus_fulvus_17125,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,0.07449856733524356,0.08882521489971347,0.836676217765043,349.0
Neobatrachus_albipes_15803,Neobatrachus_fulvus_17125,Neobatrachus_sudellae_23945,Neobatrachus_wilsmorei_113973,0.07736389684813753,0.07163323782234957,0.8510028653295129,349.0
Neobatrachus_albipes_15803,Neobatrachus_fulvus_17125,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.6246418338108882,0.16045845272206305,0.2148997134670487,349.0
Neobatrachus_albipes_15803,Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,0.45558739255014324,0.36962750716332377,0.17478510028653296,349.0
Neobatrachus_albipes_15803,Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,Neobatrachus_sudellae_23945,0.42406876790830944,0.4498567335243553,0.12607449856733524,349.0
Neobatrachus_albipes_15803,Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,Neobatrachus_sutor_15343,0.44412607449856734,0.3037249283667622,0.2521489971346705,349.0
Neobatrachus_albipes_15803,Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,Neobatrachus_wilsmorei_113973,0.45272206303724927,0.2636103151862464,0.2836676217765043,349.0
Neobatrachus_albipes_15803,Neobatrachus_kunapalari_16563,Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,0.6504297994269341,0.2521489971346705,0.09742120343839542,349.0
Neobatrachus_albipes_15803,Neobatrachus_kunapalari_16563,Neobatrachus_pictus_15876,Neobatrachus_sutor_15343,0.46418338108882523,0.20630372492836677,0.32951289398280803,349.0
Neobatrachus_albipes_15803,Neobatrachus_kunapalari_16563,Neobatrachus_pictus_15876,Neobatrachus_wilsmorei_113973,0.4498567335243553,0.1833810888252149,0.3667621776504298,349.0
Neobatrachus_albipes_15803,Neobatrachus_kunapalari_16563,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,0.41260744985673353,0.15759312320916904,0.4297994269340974,349.0
Neobatrachus_albipes_15803,Neobatrachus_kunapalari_16563,Neobatrachus_sudellae_23945,Neobatrachus_wilsmorei_113973,0.39255014326647564,0.1489971346704871,0.4584527220630373,349.0
Neobatrachus_albipes_15803,Neobatrachus_kunapalari_16563,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.7020057306590258,0.09742120343839542,0.20057306590257878,349.0
Neobatrachus_albipes_15803,Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,0.7306590257879656,0.13753581661891118,0.1318051575931232,349.0
Neobatrachus_albipes_15803,Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,Neobatrachus_sutor_15343,0.3839541547277937,0.2722063037249284,0.3438395415472779,349.0
Neobatrachus_albipes_15803,Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,Neobatrachus_wilsmorei_113973,0.3553008595988539,0.2722063037249284,0.37249283667621774,349.0
Neobatrachus_albipes_15803,Neobatrachus_pelobatoides_116515,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,0.3753581661891118,0.25501432664756446,0.36962750716332377,349.0
Neobatrachus_albipes_15803,Neobatrachus_pelobatoides_116515,Neobatrachus_sudellae_23945,Neobatrachus_wilsmorei_113973,0.33810888252148996,0.2521489971346705,0.40974212034383956,349.0
Neobatrachus_albipes_15803,Neobatrachus_pelobatoides_116515,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.664756446991404,0.16332378223495703,0.17191977077363896,349.0
Neobatrachus_albipes_15803,Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,0.15759312320916904,0.15759312320916904,0.6848137535816619,349.0
Neobatrachus_albipes_15803,Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,Neobatrachus_wilsmorei_113973,0.12034383954154727,0.166189111747851,0.7134670487106017,349.0
Neobatrachus_albipes_15803,Neobatrachus_pictus_15876,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.6361031518624641,0.15759312320916904,0.20630372492836677,349.0
Neobatrachus_albipes_15803,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.6246418338108882,0.1518624641833811,0.22349570200573066,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_fulvus_17125,Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,0.8510028653295129,0.09455587392550144,0.054441260744985676,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_fulvus_17125,Neobatrachus_kunapalari_16563,Neobatrachus_pictus_15876,0.7650429799426934,0.14613180515759314,0.08882521489971347,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_fulvus_17125,Neobatrachus_kunapalari_16563,Neobatrachus_sudellae_23945,0.6762177650429799,0.10601719197707736,0.2177650429799427,349.0
